CODIGO,C,6;DESCRICAO,C,55;GRUPO,C,12;CADASTRO,D;CUSTO,N,14,4;VENDA_ATU,N,14,4;VENDA_ANT,N,14,4;MARGEM,N,14,4;ESTOQUE,N,14,4;MINIMO,N,14,4;INVENTARIO,D;CODIGOFOR,C,5;PORCENTAGE,N,14,4;CLASSE,C,1;ETIQUETA,C,1;ATIVO,C,1;BARRA,C,13;HORA,C,5;ALTERADO,C,1;VALIDADE,D;VENDA_PRO,N,14,4;EMPRESTIMO,N,14,4;DESCONTO,N,14,4;QTDE_PONTO,N,5,0;PODE_PRECO,C,1;PODE_DESC,C,1;ATUALIZAR,C,1;UNIDADES,N,14,4;LOCAL,C,10;DESC_PRAZO,C,1;QTD_VALIDA,N,14,4;COD_AUX1,C,9;MIN_ULT,N,5,0;MIN_DATA,D;MIN_DIAS,N,3,0;VINCULADO,N,14,4;APRESENTAC,C,2;BLOQ_PRECO,C,1;BLOQ_DESC,C,1;FRACAO,N,14,4;PESO,N,14,4;SUBGRUPO,C,15;REFERENCIA,C,55;VASILHAME,N,14,4;NP01_PORC,N,14,4;NP02_PORC,N,14,4;NP03_PORC,N,14,4;NP04_PORC,N,14,4;NP01_VALOR,N,14,4;NP02_VALOR,N,14,4;NP03_VALOR,N,14,4;NP04_VALOR,N,14,4;CONJ_ESTOQ,C,1;CONJ_CODIG,C,6;CONJ_QTD,N,14,4;ALIQ_ICMS,N,14,4;ALIQ_IPI,N,14,4;ALIQ_ISS,N,14,4;TIPO_PRODU,C,1;ICMS_SUBS,C,1;SIT_TRIBUT,C,3;CUSTO_BRUT,N,14,4;DESC01,N,14,4;DESC02,N,14,4;DESC03,N,14,4;DESC04,N,14,4;CUSTO_IPI,N,14,4;CUSTO_MEDI,N,14,4;CUSTO_FRET,N,14,4;ICMS_RED,C,1;C_FISCAL,C,14;ATU_CAIXA,C,1;ATU_PRECO,C,1
000014;SANDALIA HAVAI TOP AZ NAVAL 41/2;HAVAIANAS;27/10/2008;10,49;15;11,5;42,99;0;0;24/10/2012;00001;0;A;N;S;7890557722257;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;10,99;10,99;10,99;10,99;N;;0;0;0;0;;;;10,49;0;0;0;0;0;10,49;0;;;S;S
000015;SANDALIA HAVAI TOP AZ NAVAL 43/4;HAVAIANAS;27/10/2008;8,53;11,5;9,85;34,82;0;0;24/10/2012;00001;0;A;N;S;7890557722264;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0;0;0;0;9,85;9,85;9,85;9,85;N;;0;0;0;0;;;;8,53;0;0;0;0;0;8,53;0;;;S;S
000016;SANDALIA HAVAI TOP PRETA 33/4;HAVAIANAS;27/10/2008;7,89;15;10;90,1141;0;0;05/02/2016;00001;0;A;N;S;7891109486191;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;15;15;15;15;N;;0;0;0;0;;;;7,89;0;0;0;0;0;7,89;0;;;S;S
000017;SANDALIA HAVAI TOP PRETA 35/6;HAVAIANAS;27/10/2008;12,5;18;18;44;0;0;05/02/2016;00001;0;A;N;S;7891109486207;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;15;15;15;15;N;;0;0;0;0;;;;12,5;0;0;0;0;0;12,5;0;;;S;S
000018;SANDALIA HAVAI TOP AZUL MAR 7/38;HAVAIANAS;27/10/2008;10,48;15;15;43,13;0;0;05/02/2016;00001;0;A;N;S;7890541601889;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0;0;0;0;15;15;15;15;N;;0;0;0;0;;;;10,48;0;0;0;0;0;10,48;0;;;S;S
000019;SANDALIA HAVAI TOP PRETA 39/0;HAVAIANAS;27/10/2008;12,18;18;18;47,78;3;0;06/07/2017;00001;0;A;N;S;7891109486221;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0,1176;0,1176;0,1176;0,1176;17,02;17,02;17,02;17,02;N;;0;0;0;0;;;;12,18;0;0;0;0;0;12,14;0;;;S;S
000020;SANDALIA HAVAI TOP PRETA 41/2;HAVAIANAS;27/10/2008;12,06;18;18;49,25;1;0;05/02/2016;00001;0;A;N;S;7891109486238;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;15;15;15;15;N;;0;0;0;0;;;;12,06;0;0;0;0;0;12,06;0;;;S;S
000021;SANDALIA HAVAI TOP PRETA 43/4;HAVAIANAS;27/10/2008;12,18;18;18;47,78;2;0;05/02/2016;00001;0;A;N;S;7891109486245;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;15;15;15;15;N;;0;0;0;0;;;;12,18;0;0;0;0;0;12,18;0;;;S;S
000022;SANDALIA HAVAI TOP ROSA CREAM 33/4;HAVAIANAS;27/10/2008;7,57;10,9765;0;45;0;0;24/10/2012;00001;0;A;N;S;7890557618031;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0,0319;0,0319;0,0319;0,0319;10,98;10,98;10,98;10,98;N;;0;0;0;0;;;;7,57;0;0;0;0;0;0;0;;;S;S
000023;SANDALIA HAVAI TOP ROSA CREAM 35/6;HAVAIANAS;27/10/2008;7,77;11,5;10,9765;48,0051;0;0;24/10/2012;00001;0;A;N;S;7890557659591;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;11,5;11,5;11,5;11,5;N;;0;0;0;0;;;;7,77;0;0;0;0;0;7,77;0;;;S;S
000024;SAND HAV COLOR FLORAL 39/40 BEGE;HAVAIANAS;27/10/2008;9,97;15;11,5;50,45;2;0;11/09/2018;00001;0;A;N;S;7890541038586;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;11,5;11,5;11,5;11,5;N;;0;0;0;0;;;;9,97;0;0;0;0;0;9,97;0;;;S;S
000025;SANDALIA HAVAI TOP ROSA CREAM 39/0;HAVAIANAS;27/10/2008;7,57;15;0;98,1506;0;0;05/04/2016;00001;0;A;N;S;7895265293877;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;15;15;15;15;N;;0;0;0;0;;;;7,57;0;0;0;0;0;0;0;;;S;S
000026;SANDALIA HAVAI TOP AZUL NAVAL 27/8;HAVAIANAS;27/10/2008;5,83;7,6;0;30,3602;0;0;24/10/2012;00001;0;A;N;S;7890557722189;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0;0;0;0;7,6;7,6;7,6;7,6;N;;0;0;0;0;;;;5,83;0;0;0;0;0;0;0;;;S;S
000027;SANDALIA HAVAI TOP AZUL NAVAL 29/30;HAVAIANAS;27/10/2008;5,56;7,248;7,6;30,36;0;0;24/10/2012;00001;0;A;N;S;7890557722196;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0,0274;0,0274;0,0274;0,0274;7,25;7,25;7,25;7,25;N;;0;0;0;0;;;;5,56;0;0;0;0;0;5,56;0;;;S;S
000028;SANDALIA HAVAI TOP ROSA CREAM 27/8;HAVAIANAS;27/10/2008;5,83;8,4535;0;45;0;0;24/10/2012;00001;0;A;N;S;7890557659577;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;-0,0414;-0,0414;-0,0414;-0,0414;8,45;8,45;8,45;8,45;N;;0;0;0;0;;;;5,83;0;0;0;0;0;0;0;;;S;S
000029;SANDALIA HAVAI TOP ROSA CREAM 29/30;HAVAIANAS;27/10/2008;5,83;7,6;0;30,3602;0;0;24/10/2012;00001;0;A;N;S;7890557622878;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;7,6;7,6;7,6;7,6;N;;0;0;0;0;;;;5,83;0;0;0;0;0;0;0;;;S;S
000030;SANDALIA HAVAI TOP AZUL NAVAL 31/32;HAVAIANAS;27/10/2008;5,68;8;9;40,85;0;0;24/10/2012;00001;0;A;N;S;7890557722202;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;-0,0601;-0,0601;-0,0601;-0,0601;7,4;7,4;7,4;7,4;N;;0;0;0;0;;;;5,68;0;0;0;0;0;5,68;0;;;S;S
000031;ESCOVA JOHNSONS ULTRA CLEAN;PRODUTOS;27/10/2008;4,14;5,9;4,75;42,51;-1;0;28/05/2016;00001;0;A;N;S;7891010043476;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0,0007;0,0007;0,0007;0,0007;4,75;4,75;4,75;4,75;N;;0;0;0;0;;;;4,14;0;0;0;0;0;4,14;0;;;S;S
000032;ESPONJA SCHOTCH NAO RISCA;PRODUTOS;27/10/2008;1;2,15;7;115;-2;0;03/05/2016;00001;0;A;N;S;7891040142712;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0,0001;0,0001;0,0001;0,0001;2,15;2,15;2,15;2,15;N;;0;0;0;0;;;;1;0;0;0;0;0;2,93;0;;;S;S
000033;ESPONJA BRILHUS 4 UNIDADES;PRODUTOS;27/10/2008;1,97;2,95;3,6;49,75;28;0;28/06/2018;00001;0;A;N;S;7896001045149;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0,0011;0,0011;0,0011;0,0011;3,6;3,6;3,6;3,6;N;;0;0;0;0;;;;1,97;0;0;0;0;0;1,97;0;;;S;S
000034;SAND HAV SPRING AREIA 39/40;PRODUTOS;27/10/2008;13,28;19;8;43,07;1;0;08/08/2018;00001;0;A;N;S;7890541025326;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;8;8;8;8;N;;0;0;0;0;;;;13,28;0;0;0;0;0;13,28;0;;;S;S
000035;ESPONJA PONJITA INFANTIL;PRODUTOS;27/10/2008;2,08;3;7;44,23;0;0;03/05/2016;00001;0;A;N;S;7891040150014;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0,0005;0,0005;0,0005;0,0005;3;3;3;3;N;;0;0;0;0;;;;2,08;0;0;0;0;0;2,08;0;;;S;S
000036;ROLO ADESIVO (LIMPA PLUMA);PRODUTOS;27/10/2008;5,21;7,4998;7;43,95;0;0;28/04/2016;00001;0;A;N;S;7891040108152;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0,0027;0,0027;0,0027;0,0027;7,5;7,5;7,5;7,5;N;;0;0;0;0;;;;5,21;0;0;0;0;0;5,21;0;;;S;S
000037;SANDALIA HAVAI BRASIL PRETA 37/8;HAVAIANAS;27/10/2008;10,2;13,9995;15,99;37,25;0;0;24/10/2012;00001;0;A;N;S;7895265700344;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0,0036;0,0036;0,0036;0,0036;14;14;14;14;N;;0;0;0;0;;;;10,2;0;0;0;0;0;10,2;0;;;S;S
000038;SANDALIA HAVAI BRASIL PRETA 39/40;HAVAIANAS;27/10/2008;14,9;21;17;40,94;0;0;24/10/2012;00001;0;A;N;S;7895265700351;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;N;1;0;;;0;0,0732;0,0732;0,0732;0,0732;14,01;14,01;14,01;14,01;N;;0;0;0;0;;;;14,9;0;0;0;0;0;14,9;0;;;S;S
000039;SANDALIA HAVAI BRASIL PRETA 41/42;HAVAIANAS;27/10/2008;14,9;21;17;40,94;0;0;24/10/2012;00001;0;A;N;S;7895265700368;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0,058;0,058;0,058;0,058;16,51;16,51;16,51;16,51;N;;0;0;0;0;;;;14,9;0;0;0;0;0;14,9;0;;;S;S
000040;SANDALIA HAV ALEGGRA 37/38 BEGE;HAVAIANAS;27/10/2008;8,53;13;13;52,4;0;0;05/02/2016;00001;0;A;N;S;7891224261895;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;13;13;13;13;N;;0;0;0;0;;;;8,53;0;0;0;0;0;8,53;0;;;S;S
000041;SANDALIA HAVAI SLIN PRATA 33/4;HAVAIANAS;27/10/2008;15,51;19;0;22,5016;0;0;24/10/2012;00001;0;A;N;S;7890557502187;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;-0,0526;-0,0526;-0,0526;-0,0526;18,99;18,99;18,99;18,99;N;;0;0;0;0;;;;15,51;0;0;0;0;0;0;0;;;S;S
000042;SANDALIA HAVAI SLIM PRATA 35/6;HAVAIANAS;27/10/2008;13,43;19;19,99;41,47;0;0;24/10/2012;00001;0;A;N;S;7890557502194;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;19,99;19,99;19,99;19,99;N;;0;0;0;0;;;;13,43;0;0;0;0;0;13,43;0;;;S;S
000043;SANDALIA HAVAI SLIM PRATA 37/8;HAVAIANAS;27/10/2008;15,51;19,99;0;28,8846;0;0;24/10/2012;00001;0;A;N;S;7890557502200;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;19,99;19,99;19,99;19,99;N;;0;0;0;0;;;;15,51;0;0;0;0;0;0;0;;;S;S
000044;SANDALIA HAV KIDS FLORES ROSA 33/34;HAVAIANAS;27/10/2008;12,45;18;18;44,58;0;0;25/07/2018;00001;0;A;N;S;7890541159847;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;19,99;19,99;19,99;19,99;N;;0;0;0;0;;;;12,45;0;0;0;0;0;12,45;0;;;S;S
000045;SANDALIA HAVAI SLIM DOURADA 33/4;HAVAIANAS;27/10/2008;15,51;19,99;0;28,8846;0;0;24/10/2012;00001;0;A;N;S;7890557502460;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;19,99;19,99;19,99;19,99;N;;0;0;0;0;;;;15,51;0;0;0;0;0;0;0;;;S;S
000046;SANDALIA HAVAI SLIM DOURADA 35/6;HAVAIANAS;27/10/2008;13,43;19;21;41,47;0;0;24/10/2012;00001;0;A;N;S;7890557502477;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;21;21;21;21;N;;0;0;0;0;;;;13,43;0;0;0;0;0;13,43;0;;;S;S
000047;SANDALIA HAV KIDS ATHLENTIC 27/28;HAVAIANAS;27/10/2008;10,77;16;16;48,56;-1;0;19/02/2016;00001;0;A;N;S;7891224010400;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;N;1;0;;;0;0;0;0;0;16;16;16;16;N;;0;0;0;0;;;;10,77;0;0;0;0;0;10,77;0;;;S;S
000048;SANDALIA HAVAI SLIM DOURADA 39/0;HAVAIANAS;27/10/2008;15,51;19,99;0;28,8846;0;0;24/10/2012;00001;0;A;N;S;7890557502491;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;19,99;19,99;19,99;19,99;N;;0;0;0;0;;;;15,51;0;0;0;0;0;0;0;;;S;S
000049;ABS INTIMUS GEL BASICO SV S/ ABAS;AVULSO;27/10/2008;1,03;1,4935;0;45;0;0;10/04/2010;00001;0;A;N;S;7896007541416;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;-0,2343;-0,2343;-0,2343;-0,2343;1,49;1,49;1,49;1,49;N;;0;0;0;0;;;;1,03;0;0;0;0;0;0;0;;;S;S
000050;ABS INTIMUS GEL COBERTURA SUAVE;PRODUTOS;27/10/2008;2,15;3;3,25;39,48;0;0;19/02/2016;00001;0;A;N;S;7896007547654;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;-0,0012;-0,0012;-0,0012;-0,0012;2;2;2;2;N;;0;0;0;0;;;;2,15;0;0;0;0;0;2,15;0;;;S;S
000051;AMEIXA SECA C/CAROCO 100 GRS;PRODUTOS;27/10/2008;2,5;3,5;3,5;40;7;0;27/01/2018;00001;0;A;N;S;7891089062293;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0;0;0;0;3,5;3,5;3,5;3,5;N;;0;0;0;0;;;;2,5;0;0;0;0;0;2,5;0;;;S;S
000052;UVA PASSAS LA VIOLETERA 200G;PRODUTOS;27/10/2008;2,84;3,7;4,35;30,28;0;0;05/04/2016;00001;0;A;N;S;7891089061692;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0,2716;0,2716;0,2716;0,2716;3,71;3,71;3,71;3,71;N;;0;0;0;0;;;;2,84;0;0;0;0;0;2,91;0;;;S;S
000053;BISC DUNGA 400G AGUA E SAL;PRODUTOS;27/10/2008;2,45;3,4;3,4;38,78;-4;0;14/09/2016;00001;0;A;N;S;7896102432060;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0,2857;0,2857;0,2857;0,2857;3,51;3,51;3,51;3,51;N;;0;0;0;0;;;;2,45;0;0;0;0;0;2,45;0;;;S;S
000054;BOLINHO BAUDUCO DUO CENOURA;PRODUTOS;27/10/2008;1,02;1,35;1,35;32,35;12;0;09/07/2018;00001;0;A;N;S;7891962053141;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0,0034;0,0034;0,0034;0,0034;2,5;2,5;2,5;2,5;N;;0;0;0;0;;;;1,02;0;0;0;0;0;1,02;0;;;S;S
000055;BALA BUT TOFFES;PRODUTOS;27/10/2008;0,09;0,2;0,15;122,2222;41;0;14/09/2017;00001;0;A;N;S;;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;N;1;0;;;0;-5;-5;-5;-5;0,19;0,19;0,19;0,19;N;;0;0;0;0;;;;0,09;0;0;0;0;0;0,06;0;;;S;S
000056;AGUA MINERAL 500ML;BEBIDAS;27/10/2008;0,91;1,5;1,5;64,84;-47;0;29/05/2018;00001;0;A;N;S;7896435328511;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;4,6683;4,6683;4,6683;4,6683;1,57;1,57;1,57;1,57;N;;0;0;0;0;;;;0,91;0;0;0;0;0;0,91;0;;;S;S
000057;DESINF BATUTA FLORAL 750ML;PRODUTOS;27/10/2008;1,45;1,85;0,095;27,59;0;0;04/02/2010;00001;0;A;N;S;7891242512023;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;5,2632;5,2632;5,2632;5,2632;0,1;0,1;0,1;0,1;N;;0;0;0;0;;;;1,45;0;0;0;0;0;1,45;0;;;S;S
000058;ABS INTIMUS GEL COB. SECA S/ ABAS;AVULSO;27/10/2008;1,37;1,9001;1,89;38,69;0;0;01/05/2016;00001;0;A;N;S;7896007540624;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;-0,0028;-0,0028;-0,0028;-0,0028;1,9;1,9;1,9;1,9;N;;0;0;0;0;;;;1,37;0;0;0;0;0;1,37;0;;;S;S
000059;CANETA BIC CRISTAL AZUL;PRODUTOS;27/10/2008;0,57;0,8;0,8;40,35;49;0;08/02/2016;00001;0;A;N;S;070330129627;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0;0;0;0;0,8;0,8;0,8;0,8;N;;0;0;0;0;;;;0,57;0;0;0;0;0;0,57;0;;;S;S
000060;DETER. OMO M.ACAO 1 KG;PRODUTOS;27/10/2008;6,4;9;9;40,62;1;0;10/04/2018;00001;0;A;N;S;7891038009300;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0,1086;0,1086;0,1086;0,1086;9,51;9,51;9,51;9,51;N;;0;0;0;0;;;;6,4;0;0;0;0;0;6,65;0;;;S;S
000061;COCO RALADO MENINA 100G;PRODUTOS;27/10/2008;2,06;2,9;2,95;40,78;12;0;14/05/2018;00001;0;A;N;S;7896028030654;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0;0;0;0;2,95;2,95;2,95;2,95;N;;0;0;0;0;;;;2,06;0;0;0;0;0;2,06;0;;;S;S
000062;COLA SUPERBONDER 3 GRS;PRODUTOS;27/10/2008;2,7;3,95;3,95;46,3;7;0;19/02/2016;00001;0;A;N;S;7891200190942;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0,5691;0,5691;0,5691;0,5691;3,52;3,52;3,52;3,52;N;;0;0;0;0;;;;2,7;0;0;0;0;0;2,7;0;;;S;S
000063;SUCO FIT MORANGO;PRODUTOS;27/10/2008;0,64;0,9;3,7501;40,63;1;0;18/04/2016;00001;0;A;N;S;7891132001972;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0,2635;0,2635;0,2635;0,2635;3,76;3,76;3,76;3,76;N;;0;0;0;0;;;;0,64;0;0;0;0;0;0,64;0;;;S;S
000064;DOCE LEITE MAITA 800G;PRODUTOS;27/10/2008;3,23;4,3;0;33,1269;0;0;15/10/2012;00001;0;A;N;S;7896480606794;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;-0,2325;-0,2325;-0,2325;-0,2325;4,29;4,29;4,29;4,29;N;;0;0;0;0;;;;3,23;0;0;0;0;0;0;0;;;S;S
